,token,transaction,timestamp
0,37652866804103441027315721591982379783,3.0,2022-11-18T15:31:45Z
1,5940053496978200634113946322602071220,4.0,2022-11-18T15:31:45Z
2,220436945093649783100222149121448731424,1.29,2022-11-18T15:31:45Z
3,25277470195757809775751636322699447488,1.0,2022-11-18T15:31:45Z
4,184286935479822961884207585910026500370,2.0,2022-11-18T15:31:45Z
5,184576176783846319050093868791785623107,1.0,2022-11-18T15:31:45Z
6,171260660344639903690674790219968197971,1.5,2022-11-18T15:31:45Z
7,190680839829164709191485566864872936825,0.5,2022-11-18T15:31:45Z
8,332800619961399846720205469330387978208,4.0,2022-11-18T15:31:45Z
9,173138123482795102232567454657460965076,1.0,2022-11-18T15:31:45Z
10,294884870627818565968317343182716219232,1.0,2022-11-18T15:31:45Z
11,33868631081678544632758803694017733577,1.0,2022-11-18T15:31:45Z
12,186180886725159066111143173774715777010,2.0,2022-11-18T15:31:45Z
13,91059323091609785622664215629562038718,1.0,2022-11-18T15:31:45Z
14,203925229484038319462500088064986940504,1.0,2022-11-18T15:31:45Z
15,7383138774051042547551249515162638754,1.0,2022-11-18T15:31:45Z
16,4033603115805133039082091653358457685,1.5,2022-11-18T15:31:45Z
17,71559150994828834134179666223408911413,1.0,2022-11-18T15:31:45Z
18,301669491803698008989389422763131534031,1.0,2022-11-18T15:31:45Z
19,157845238576299035847869133067850508445,1.0,2022-11-18T15:31:45Z
20,281496387581650161811389567912390578176,1.5,2022-11-18T15:31:45Z
21,3489827555285872259407198449918529486,1.0,2022-11-18T15:31:45Z
22,206708857549774417508497803565722774904,1.1,2022-11-18T15:31:45Z
23,85486360346959007205158766733805675750,0.9,2022-11-18T15:31:45Z
24,249900163936639948149636742226482508503,1.0,2022-11-18T15:31:45Z
25,228455993259808854756081853948292685479,1.0,2022-11-18T15:31:45Z
26,71998074972559793433878319474547877626,0.99,2022-11-18T15:31:45Z
27,298181340526747085295866198648848019714,0.069,2022-11-18T15:31:45Z
28,173138123482795102232567454657460965076,1.1,2022-11-18T15:31:45Z
29,173138123482795102232567454657460965076,1.0,2022-11-18T15:31:45Z
30,294884870627818565968317343182716219232,1.05,2022-11-18T15:31:45Z
31,138795224015437302871659187884265226612,1.5,2022-11-18T15:31:45Z
32,63772894296865837529801755168625630050,1.5,2022-11-18T15:31:45Z
33,104429412287173580297325892648832755987,1.1,2022-11-18T15:31:45Z
34,261243493208502743853299106579135556729,1.0,2022-11-18T15:31:45Z
35,85486360346959007205158766733805675750,0.75,2022-11-18T15:31:45Z
36,315684089730733001705301672331009598888,0.8,2022-11-18T15:31:45Z
37,69689354350375411434896084680608155674,0.92,2022-11-18T15:31:45Z
38,141232463008867312714448649880735867136,3.0,2022-11-18T15:31:45Z
39,91404719015277614277821363552411938092,1.5,2022-11-18T15:31:45Z
40,206708857549774417508497803565722774904,1.0,2022-11-18T15:31:45Z
41,67274254790942047173294012892798776968,1.3,2022-11-18T15:31:45Z
42,301669491803698008989389422763131534031,0.925,2022-11-18T15:31:45Z
43,157519542345230757256489335791269311724,1.001,2022-11-18T15:31:45Z
44,287168389795661883397390213401083761190,1.0,2022-11-18T15:31:45Z
45,67274254790942047173294012892798776968,1.0,2022-11-18T15:31:45Z
46,244884196980303167029172147897195911001,1.75,2022-11-18T15:31:45Z
47,173789023453678057861126924977431867649,4.0,2022-11-18T15:31:45Z
48,252887221287699433347590036706123676240,2.5,2022-11-18T15:31:45Z
49,108310834086955128939339851924718291907,1.0,2022-11-18T15:31:45Z
50,90076419474617597937222738351107881100,0.9,2022-11-18T15:31:45Z
51,600828138945605446378127556450202527,1.0,2022-11-18T15:31:45Z
52,233063874737368443594434651171446189964,0.91,2022-11-18T15:31:45Z
53,268121156266120576278679288502507171349,3.0,2022-11-18T15:31:45Z
54,221239745877767089109924590168234409057,1.75,2022-11-18T15:31:45Z
55,239318424653696972826943762135351562981,1.7,2022-11-18T15:31:45Z
56,12716899486837487489943900756514745286,1.98,2022-11-18T15:31:45Z
57,170621193336266078191478321234089594187,1.25,2022-11-18T15:31:45Z
58,308310715630580086661718351208702122479,1.5,2022-11-18T15:31:45Z
59,98605774101964110737946316213272316970,1.05,2022-11-18T15:31:45Z
60,7383138774051042547551249515162638754,1.6,2022-11-18T15:31:45Z
61,85131027392912415672123932316021350645,1.025,2022-11-18T15:31:45Z
62,298181340526747085295866198648848019714,0.0001,2022-11-18T15:31:45Z
63,81738173165448662159343752390050283102,1.78,2022-11-18T15:31:45Z
64,159462809546496696837180114952570192802,2.0,2022-11-18T15:31:45Z
65,40263803798010306749535031810593997811,1.034,2022-11-18T15:31:45Z
66,108134803849263329450396325162688149154,4.0,2022-11-18T15:31:45Z
67,23579312587297368888351667657571757020,1.5,2022-11-18T15:31:45Z
68,207346236946302587285152445522877422969,1.7999,2022-11-18T15:31:45Z
69,200488270209699153661398700378210410172,1.0,2022-11-18T15:31:45Z
70,219696165262577944984454063400839281944,1.4,2022-11-18T15:31:45Z
71,67884483787150722287150097732182844406,2.69,2022-11-18T15:31:45Z
72,240177781262331375378684680747561868861,1.0,2022-11-18T15:31:45Z
73,143999289070933791916389515201343404663,2.7,2022-11-18T15:31:45Z
74,268843399172273891520325232924037231782,1.0,2022-11-18T15:31:45Z
75,250024971444326230689003242755986721978,1.0,2022-11-18T15:31:45Z
76,20891617750621975645185291499641736901,1.0,2022-11-18T15:31:45Z
77,28560554454211409348411304039780637848,1.1,2022-11-18T15:31:45Z
78,216558890329471238046781745626123499152,2.75,2022-11-18T15:31:45Z
79,161627608232529280159976908000991567756,1.0,2022-11-18T15:31:45Z
80,1500144287724529195784695452233667279,1.0,2022-11-18T15:31:45Z
81,306153763384817448608250912857726647925,2.0,2022-11-18T15:31:45Z
82,131225939829165895864276067596619433933,1.4,2022-11-18T15:31:45Z
83,207346236946302587285152445522877422969,1.0,2022-11-18T15:31:45Z
84,177108356396893553354845207828541319621,1.3,2022-11-18T15:31:45Z
85,203623834091420465153102943142482918274,2.0,2022-11-18T15:31:45Z
86,60822755673754757961878993243374012589,1.2,2022-11-18T15:31:45Z
87,131225939829165895864276067596619433933,1.0,2022-11-18T15:31:45Z
88,124927194577512842107763551645047634050,1.2,2022-11-18T15:31:45Z
89,136285504510258008067171936149882015761,1.7,2022-11-18T15:31:45Z
90,191165796226084118079615486294953895150,1.035,2022-11-18T15:31:45Z
91,181294431755695204974849817247727888551,0.7,2022-11-18T15:31:45Z
92,174746370504441751308817866179668992478,1.7,2022-11-18T15:31:45Z
93,249508331706627587929737665070980172421,1.8,2022-11-18T15:31:45Z
94,263853745545560182353171553374907926784,2.99,2022-11-18T15:31:45Z
95,182019073088636337395248426158567548723,2.4,2022-11-18T15:31:45Z
96,118508698995069184975506110336438645814,1.99,2022-11-18T15:31:45Z
97,54543520621091689031657601732474190891,1.69,2022-11-18T15:31:45Z
98,118508698995069184975506110336438645814,1.55,2022-11-18T15:31:45Z
99,139591828642356293666275662157571205597,1.75,2022-11-18T15:31:45Z
100,58184831310926588195632862261598223434,1.5,2022-11-18T15:31:45Z
101,175226131922778375709813871889079416416,1.25,2022-11-18T15:31:45Z
102,142283879171178994902039020100104508468,1.25,2022-11-18T15:31:45Z
103,19907131081693144465480231702059038348,5.0,2022-11-18T15:31:45Z
104,62658855744416169211293661153540753948,1.6,2022-11-18T15:31:45Z
105,275495061609971212082462318728785021393,2.5,2022-11-18T15:31:45Z
106,96891087536488385329199663865580461061,1.5,2022-11-18T15:31:45Z
107,140215138839389097098636213021589235910,1.25,2022-11-18T15:31:45Z
108,83435631621118092244830316599812803234,1.68,2022-11-18T15:31:45Z
109,58292177208344515619281329719000816368,1.5,2022-11-18T15:31:45Z
110,291407877642765079800318307861274020118,2.0,2022-11-18T15:31:45Z
111,179209445630006558250873481308889302236,3.0,2022-11-18T15:31:45Z
112,125089799194576708325411313736145732306,1.25,2022-11-18T15:31:45Z
113,174746370504441751308817866179668992478,1.6,2022-11-18T15:31:45Z
114,58292177208344515619281329719000816368,1.5,2022-11-18T15:31:45Z
115,78483053080430659918740739872456691368,1.6,2022-11-18T15:31:45Z
116,132349089330081652335983179277035348680,2.0,2022-11-18T15:31:45Z
117,288565322644758924959020237919983892169,1.1,2022-11-18T15:31:45Z
118,40517839051584429722822384199185483566,1.45,2022-11-18T15:31:45Z
119,182777668270404546216687041366121826197,1.3,2022-11-18T15:31:45Z
120,99593535727052381108625528688290404413,1.69,2022-11-18T15:31:45Z
121,175991199132985916101105050245513711796,1.7,2022-11-18T15:31:45Z
122,175991199132985916101105050245513711796,0.5,2022-11-18T15:31:45Z
123,293762250552761233788316261342515066082,1.0,2022-11-18T15:31:45Z
124,236852172751923147233008731126792561120,1.15,2022-11-18T15:31:45Z
125,154759947578311541091679162050880871469,2.0,2022-11-18T15:31:45Z
126,127575499010276290710120334958661402632,1.5,2022-11-18T15:31:45Z
127,238612752317100252792182057386195451132,1.5,2022-11-18T15:31:45Z
128,333745017321179132862312369062288296260,4.0,2022-11-18T15:31:45Z
129,309613872236383896281813534781315437733,2.3,2022-11-18T15:31:45Z
130,242092842960689755443079425568918318425,2.0,2022-11-18T15:31:45Z
131,135161992438642233518734356162095673958,1.4,2022-11-18T15:31:45Z
132,32229573524589685500704001176483671592,5.0,2022-11-18T15:31:45Z
133,36858485956630781896288352351645339258,2.5,2022-11-18T15:31:45Z
134,117403648001575597122153816106061279035,1.99,2022-11-18T15:31:45Z
