,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,nestorianizm,"(1, 1)",rzeczownik,"rel. chrześcijańska doktryna chrystologiczna ,  która uznaje w Chrystusie dwie osoby ,  boską i ludzką ,  oraz neguje kult Marii jako Matki Boskiej ;  zob. też nestorianizm w Wikipedii ","['chrześcijański', 'doktryna', 'chrystologiczny', 'który', 'uznawać', 'w', 'Chrystus', 'dwa', 'osoba', 'boski', 'i', 'ludzki', 'oraz', 'negować', 'kult', 'Maria', 'jako', 'Matka Boska']",['rel.'],24
1,nestorianka,"(1, 1)",rzeczownik,"rel. wyznawczyni ,  zwolenniczka doktryny nestorianizmu ","['wyznawczyni', 'zwolenniczka', 'doktryna', 'nestorianizm']",['rel.'],6
2,net,"(1, 1)",rzeczownik,pot. młodz. Internet ,['Internet'],"['pot.', 'młodz.']",3
3,netballowy,"(1, 1)",przymiotnik relacyjny,"z netballem ,  dotyczący netballu ","['z', 'netball', 'dotyczyć', 'netball']",,5
4,netbook,"(1, 1)",rzeczownik,",  komputer przenośny mniejszy od notebooka ,  przeznaczony głównie do przeglądania Internetu ,  korzystania z aplikacji online oraz programów biurowych ;  zob. też netbook w Wikipedii ","['komputer', 'przenośny', 'mały', 'od', 'notebook', 'przeznaczyć', 'głównie', 'do', 'przeglądanie', 'Internet', 'korzystanie', 'z', 'aplikacja', 'online', 'oraz', 'program', 'biurowy']",,22
5,netoholiczka,"(1, 1)",rzeczownik,uzależniona od internetu ,"['uzależnić', 'od', 'internet']",,3
6,netoholik,"(1, 1)",rzeczownik,uzależniona od internetu ,"['uzależnić', 'od', 'internet']",,3
7,netoholizm,"(1, 1)",rzeczownik,od Internetu ,"['od', 'Internet']",,2
8,netto,"(1, 1)",przysłówek,po odliczeniu wszelkich dodatkowych kosztów ,"['po', 'odliczenie', 'wszelki', 'dodatkowy', 'koszt']",,5
9,netto,"(1, 2)",przysłówek,bez opakowania ,"['bez', 'opakowanie']",,2
10,nettop,"(1, 1)",rzeczownik,"komputer typu mini desktop przeznaczony do wykonywania podstawowych zadań  ( głównie związanych z Internetem ),  zużywający mniej energii od tradycyjnego komputera osobistego ;  zob. też nettop w Wikipedii ","['komputer', 'typ', 'mini', 'desktop', 'przeznaczyć', 'do', 'wykonywanie', 'podstawowy', 'zadanie', 'głównie', 'związany', 'z', 'Internet', 'zużywać', 'mało', 'energia', 'od', 'tradycyjny', 'komputer', 'osobisty']",,24
11,netykieta,"(1, 1)",rzeczownik,"zasad obowiązujących w Internecie ,  np. w społecznościach internetowych ,  na forach ,  IRC-u ,  czacie itp. ;  zob. też netykieta w Wikipedii ","['zasada', 'obowiązywać', 'w', 'Internet', 'np.', 'w', 'społeczność', 'internetowy', 'na', 'forum', 'IRC', 'czat', 'itp.']","['np.', 'itp.']",19
12,neurastenia,"(1, 1)",rzeczownik,"psych. med. nerwica polegająca na pobudliwości ,  drażliwości i szybkim wyczerpywaniem się układu nerwowego ;  zob. też neurastenia w Wikipedii ","['nerwica', 'polegać', 'na', 'pobudliwość', 'drażliwość', 'i', 'szybki', 'wyczerpywanie', 'się', 'układ nerwowy']","['psych.', 'med.']",15
13,neurasteniczka,"(1, 1)",rzeczownik,cierpiąca na neurastenię ,"['cierpieć', 'na', 'neurastenia']",,3
14,neurastenicznie,"(1, 1)",przysłówek,sposób właściwy neurastenikom ,"['sposób', 'właściwy', 'neurastenik']",,3
15,neurasteniczność,"(1, 1)",rzeczownik,"tego ,  co neurasteniczne ;  cecha tego ,  kto neurasteniczny ","['to', 'co', 'neurasteniczny', 'cecha', 'ten', 'kto', 'neurasteniczny']",,10
16,neurasteniczny,"(1, 1)",przymiotnik,psych. właściwy neurastenii ,"['właściwy', 'neurastenia']",['psych.'],3
17,neurastenik,"(1, 1)",rzeczownik,psych. mężczyzna cierpiący na neurastenię ,"['mężczyzna', 'cierpieć', 'na', 'neurastenia']",['psych.'],5
18,neurobiologia,"(1, 1)",rzeczownik,"nauk. termin na określenie różnych dziedzin nauki ,  których przedmiotem badań jest układ nerwowy ;  zob. też neurobiologia w Wikipedii ","['termin', 'na', 'określenie', 'różny', 'dziedzina', 'nauka', 'który', 'przedmiot', 'badanie', 'być', 'układ nerwowy']",['nauk.'],15
19,neuroborelioza,"(1, 1)",rzeczownik,"med. choroba przenoszona przez chore kleszcze ,  dotykająca układ nerwowy i powodująca proces zapalny tkanki nerwowej ","['choroba', 'przenosić', 'przez', 'chory', 'kleszcz', 'dotykać', 'układ nerwowy', 'i', 'powodować', 'proces', 'zapalny', 'tkanka nerwowa']",['med.'],14
