,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,Å,"(1, 1)",None,metrol. fiz. symbol jednostki długości angstrem ,"['symbol', 'jednostka', 'długość', 'angstrem']","['metrol.', 'fiz.']",6
1,Île-de-France,"(1, 1)",rzeczownik,"geogr. hist. kraina historyczna zawierająca Paryż z przyległościami ,  stanowiąca w średniowieczu domenę królewską ","['kraina', 'historyczny', 'zawierać', 'Paryż', 'z', 'przyległość', 'stanowić', 'w', 'średniowiecze', 'domena', 'królewski']","['geogr.', 'hist.']",14
2,Île-de-France,"(1, 2)",rzeczownik,"adm. region administracyjny Francji ,  zawierający w sobie jej stolicę  -  Paryż ","['region', 'administracyjny', 'Francja', 'zawierać', 'w', 'sobie', 'jej', 'stolica', 'Paryż']",['adm.'],12
3,Ó,"(1, 1)",rzeczownik,jęz. majuskuła dwudziestej pierwszej litery alfabetu ;  zob. też Ó w Wikipedii ,"['majuskuła', 'dwudziesty', 'pierwszy', 'litera', 'alfabet']",['jęz.'],8
4,à,"(1, 1)",przyimek,– używane w handlu przy określaniu ilości ,"['–', 'używać', 'w', 'handel', 'przy', 'określanie', 'ilość']",,7
5,à,"(1, 2)",przyimek,– używane w handlu przy określaniu ceny ,"['–', 'używać', 'w', 'handel', 'przy', 'określanie', 'cena']",,7
6,à la,"(1, 1)",fraza przyimkowa,"tak ,  by przypominał kogoś lub coś ","['tak', 'by', 'przypominać', 'ktoś', 'lub', 'coś']",,7
7,à propos,"(1, 1)",fraza przyimkowa,…wprowadzająca temat wypowiedzi ,[],,1
8,à propos,"(2, 1)",fraza partykułowa,,[],,0
9,à rebours,"(1, 1)",fraza przysłówkowa,",  na odwrót ,  na wspak ","['na odwrót', 'na wspak']",,4
10,å,"(1, 1)",symbol,"jęz. litera używana w tekstach naukowych do zapisu pochylonego  „ a ”,  tzn. staropolskiej oraz współczesnej dialektalnej samogłoski pośredniej między  „ a ”  i  „ o ” ","['litera', 'używać', 'w', 'tekst', 'naukowy', 'do', 'zapis', 'pochylony', 'a', 'staropolski', 'oraz', 'współczesny', 'dialektalny', 'samogłoska', 'pośredni', 'między', 'a', 'i', 'o']","['jęz.', 'tzn.']",27
11,écru,"(1, 1)",rzeczownik,"żółto szary ,  naturalny kolor płótna ","['żółty', 'szary', 'naturalny', 'kolor', 'płótna']",,6
12,écru,"(2, 1)",przymiotnik,szary ,['szary'],,1
13,écru,"(3, 1)",przysłówek,szaro ,['szaro'],,1
14,ó,"(1, 1)",rzeczownik,jęz. dwudziesta pierwsza litera polskiego alfabetu ;  zob. też ó w Wikipedii ,"['dwudziesty', 'pierwszy', 'litera', 'polski', 'alfabet']",['jęz.'],8
15,ófnol,"(1, 1)",rzeczownik,gw. (Śląsk Cieszyński) rzem. gwóźdź kowalski ,"['gwóźdź', 'kowalski']","['gw.', 'rzem.']",5
16,ón,"(1, 1)",zaimek,gw. (Śląsk Cieszyński) on ,['on'],['gw.'],3
17,ónaczyć,"(1, 1)",czasownik nieprzechodni niedokonany,gw. (Śląsk Cieszyński) pot. robić  ( o jakiejkolwiek czynności ) ,"['robić', 'o', 'jakikolwiek', 'czynność']","['gw.', 'pot.']",9
18,ónaki,"(1, 1)",przymiotnik,gw. (Śląsk Cieszyński) stosunkowo dobry ,"['stosunkowo', 'dobry']",['gw.'],4
19,ósemeczka,"(1, 1)",rzeczownik,zdrobn. od: ósemka ,['ósemka'],['zdrobn.'],3
20,ósemka,"(1, 1)",rzeczownik,cyfry 8 ,"['cyfra', '8']",,2
21,ósemka,"(1, 2)",rzeczownik,cyfry 8 ,"['cyfra', '8']",,2
22,ósemka,"(1, 3)",rzeczownik,",  zawodnik ,  tramwaj ,  autobus ,  dom ,  mieszkanie oznaczony cyfrą 8 ","['zawodnik', 'tramwaj', 'autobus', 'dom', 'mieszkanie', 'oznaczyć', 'cyfra', '8']",,13
23,ósemka,"(1, 4)",rzeczownik,ośmiu osób ,['osiem'],,1
24,ósemka,"(1, 5)",rzeczownik,dźwięk o czasie trwania równym 1 / 8 całej nuty ;  zob. też ósemka (nuta) w Wikipedii ,"['dźwięk', 'o', 'czas', 'trwać', 'równy', '1', '/', '8', 'cały', 'nuta']",,12
25,ósemka,"(1, 6)",rzeczownik,",  żegl. rodzaj węzła ;  zob. też ósemka (węzeł) w Wikipedii ","['rodzaj', 'węzeł']",['żegl.'],6
26,ósemka,"(1, 7)",rzeczownik,asekuracyjny przyrząd ;  zob. też ósemka (wspinaczka) w Wikipedii ,"['asekuracyjny', 'przyrząd']",,4
27,ósemka,"(1, 8)",rzeczownik,ząb trzonowy u człowieka ,"['ząb trzonowy', 'u', 'człowiek']",,3
28,ósemka,"(1, 9)",rzeczownik,odmiana bilarda ;  zob. też ósemka (bilard) w Wikipedii ,"['odmiana', 'bilard']",,4
