,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,styk,"(1, 1)",rzeczownik,"elektr. element obwodu ,  pozwalający włączać lub wyłączać przepływ prądu ","['element', 'obwód', 'pozwalać', 'włączać', 'lub', 'wyłączać', 'przepływ', 'prąd']",['elektr.'],10
1,styk,"(1, 2)",rzeczownik,",  w którym dotykają się dwie płaszczyzny ,  figury itp. ","['w', 'który', 'dotykać się', 'dwa', 'płaszczyzna', 'figura', 'itp.']",['itp.'],9
2,stykać,"(1, 1)",czasownik niedokonany (dk. zetknąć),"do siebie obiekty ,  aż do zetknięcia ","['do', 'siebie', 'obiekt', 'aż', 'do', 'zetknięcie']",,7
3,stykać,"(1, 2)",czasownik niedokonany (dk. zetknąć),"spotkanie ,  znajomość dwóch lub więcej osób ","['spotkanie', 'znajomość', 'dwa', 'lub', 'dużo', 'osoba']",,7
4,stykać,"(2, 1)",czasownik zwrotny niedokonany stykać się (dk. zetknąć się),do czegoś ,"['do', 'coś']",,2
5,stykać,"(2, 2)",czasownik zwrotny niedokonany stykać się (dk. zetknąć się),z kimś lub z czymś w bezpośredni kontakt ,"['z', 'ktoś', 'lub', 'z', 'coś', 'w', 'bezpośredni', 'kontakt']",,8
6,stykać,"(2, 3)",czasownik zwrotny niedokonany stykać się (dk. zetknąć się),"ze sobą ,  współwystępować z czymś ","['ze', 'siebie', 'współwystępować', 'z', 'coś']",,6
7,styknyć,"(1, 1)",czasownik dokonany,gw. (Śląsk Cieszyński) wystarczyć ,['wystarczyć'],['gw.'],3
8,stykowy,"(1, 1)",przymiotnik relacyjny,"z stykiem ,  dotyczący styku ","['z', 'styk', 'dotyczyć', 'styk']",,5
9,Styks,"(1, 1)",rzeczownik,mit. gr. główna rzeka Hadesu ;  zob. też Styks w Wikipedii ,"['główny', 'rzeka', 'Hades']",['mit. gr.'],6
10,styksowy,"(1, 1)",przymiotnik relacyjny,"mit. gr. odnoszący się do Styksu ,  dotyczący Styksu ","['odnosić się', 'do', 'Styks', 'dotyczyć', 'Styks']",['mit. gr.'],7
11,stylówa,"(1, 1)",rzeczownik,"pot. żart. stylizacja ,  zestawienie elementów ubioru ,  dodatków ,  fryzury ,  makijażu itp. ","['stylizacja', 'zestawienie', 'element', 'ubiór', 'dodatek', 'fryzura', 'makijaż', 'itp.']","['pot.', 'żart.', 'itp.']",14
12,styl,"(1, 1)",rzeczownik,"wyrażania się ;  sposób mówienia ,  pisania ;  zob. też styl (językoznawstwo) w Wikipedii ","['wyrażać', 'się', 'sposób', 'mówić', 'pisać']",,9
13,styl,"(1, 2)",rzeczownik,"czyjegoś postępowania ,  zachowania ","['czyjś', 'postępowanie', 'zachowanie']",,4
14,styl,"(1, 3)",rzeczownik,"cech charakterystycznych dla danego regionu ,  epoki itp. ","['cecha', 'charakterystyczny', 'dla', 'dany', 'region', 'epoka', 'itp.']",['itp.'],8
15,styl,"(1, 4)",rzeczownik,ruchy właściwe danej dyscyplinie sportowej ,"['ruch', 'właściwy', 'dany', 'dyscyplina', 'sportowy']",,5
16,styl,"(1, 5)",rzeczownik,"starożytnego przyrządu do pisania ,  rylec ","['starożytny', 'przyrząd', 'do', 'pisać', 'rylec']",,6
17,styl,"(1, 6)",rzeczownik,"wygląd elementu strony HTML ,  nadawany za pomocą CSS ","['wygląd', 'element', 'strona', 'HTML', 'nadawać', 'za pomocą', 'CSS']",,8
18,stylisko,"(1, 1)",rzeczownik,",  podłużny uchwyt narzędzia ","['podłużny', 'uchwyt', 'narzędzie']",,4
19,stylista,"(1, 1)",rzeczownik,",  mówca oceniany ze względu na jego styl ","['mówca', 'oceniać', 'ze względu na', 'jego', 'styl']",,6
20,stylista,"(1, 2)",rzeczownik,"tworząca czyjś wizerunek ,  doradzając odpowiedni strój ,  makijaż ,  fryzurę itp. ","['tworzyć', 'czyjś', 'wizerunek', 'doradzać', 'odpowiedni', 'strój', 'makijaż', 'fryzura', 'itp.']",['itp.'],12
21,stylista,"(1, 3)",rzeczownik,"mody ,  fryzur ,  wnętrz itp. ","['moda', 'fryzura', 'wnętrze', 'itp.']",['itp.'],6
22,stylistyczny,"(1, 1)",przymiotnik relacyjny,"ze stylistyką ,  dotyczący stylistyki ","['ze', 'stylistyka', 'dotyczyć', 'stylistyka']",,5
23,stylistyka,"(1, 1)",rzeczownik,liter. jęz. dział nauki zajmujący się opisem i analizą stylów językowych ,"['dział', 'nauka', 'zajmować się', 'opis', 'i', 'analiza', 'styl', 'językowy']","['liter.', 'jęz.']",10
24,stylistyka,"(1, 2)",rzeczownik,archit. muz. szt. styl charakterystyczny dla danego twórcy lub dzieła ,"['styl', 'charakterystyczny', 'dla', 'dany', 'twórca', 'lub', 'dzieło']","['archit.', 'muz.', 'szt.']",10
25,stylizacja,"(1, 1)",rzeczownik,czemuś pewnego stylu ,"['coś', 'pewien', 'styl']",,3
26,stylizacja,"(1, 2)",rzeczownik,"makijażu i przygotowanie modelki lub modela do zdjęć ,  pokazu ","['makijaż', 'i', 'przygotowanie', 'modelka', 'lub', 'model', 'do', 'zdjęcie', 'pokaz']",,10
27,stylizować,"(1, 1)",czasownik przechodni niedokonany (dk. wystylizować),stylizacji ,['stylizacja'],,1
28,stylizować,"(1, 2)",czasownik przechodni niedokonany (dk. wystylizować),stylistycznego opracowania tekstu ,"['stylistyczny', 'opracowanie', 'tekst']",,3
