,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,Półwysep Walijski,"(1, 1)",fraza rzeczownikowa,"geogr. półwysep w południowo-zachodniej części wyspy Wielka Brytania ,  nad Morzem Irlandzkim i Celtyckim ","['półwysep', 'w', 'południowo-zachodni', 'część', 'wyspa', 'Wielka Brytania', 'nad', 'Morze Irlandzkie', 'i', 'Morze Celtyckie']",['geogr.'],12
1,Półwysep Zielonego Przylądka,"(1, 1)",fraza rzeczownikowa,geogr. półwysep w zachodnim Senegalu nad Oceanem Atlantyckim ,"['półwysep', 'w', 'zachodni', 'Senegal', 'nad', 'Ocean Atlantycki']",['geogr.'],7
2,półwyspowy,"(1, 1)",przymiotnik relacyjny,"do półwyspu ,  związany z półwyspem ","['do', 'półwysep', 'związać', 'z', 'półwysep']",,6
3,półwytrawny,"(1, 1)",przymiotnik,o napojach alkoholowych: mający smak pośredni między wytrawnym a półsłodkim ,"['mieć', 'smak', 'pośredni', 'między', 'wytrawny', 'a', 'półsłodki']",,8
4,półzimotrwały,"(1, 1)",przymiotnik,prawie przez całą zimę ,"['prawie', 'przez', 'cały', 'zima']",,4
5,półzrozumiałość,"(1, 1)",rzeczownik,"tego ,  co półzrozumiałe ;  cecha tych ,  którzy są półzrozumiali ","['to', 'co', 'półzrozumiały', 'cecha', 'ci', 'który', 'być', 'półzrozumiały']",,11
6,półzwierzęcość,"(1, 1)",rzeczownik,"tego ,  co półzwierzęce ;  cecha tych ,  którzy są półzwierzęcy ","['to', 'co', 'półzwierzęcy', 'cecha', 'ci', 'który', 'być', 'półzwierzęcy']",,11
7,półzwierzęcy,"(1, 1)",przymiotnik relacyjny,",  który jest zwierzęcy tylko w połowie ","['który', 'być', 'zwierzęcy', 'tylko', 'w', 'połowa']",,7
8,pół biedy,"(1, 1)",związek frazeologiczny,"używany ,  gdy coś sprawia niewielki kłopot w porównaniu z czymś innym ","['używać', 'gdy', 'coś', 'sprawiać', 'niewielki', 'kłopot', 'w porównaniu', 'z', 'coś', 'inny']",,11
9,pół Polak,"(1, 1)",fraza rzeczownikowa,lub chłopiec pochodzący ze związku Polaka z nie-Polką bądź Polki z nie-Polakiem ,"['lub', 'chłopiec', 'pochodzić', 'ze', 'związek', 'Polak', 'z', 'nie-Polka', 'bądź', 'Polka', 'z', 'nie-Polak']",,12
10,pół Polak,"(1, 2)",fraza rzeczownikowa,"przen. człowiek ,  który pół życia spędził w Polsce ","['człowiek', 'który', 'pół', 'życie', 'spędzić', 'w', 'Polska']",['przen.'],9
11,pół Polka,"(1, 1)",fraza rzeczownikowa,lub dziewczyna pochodząca ze związku Polaka z nie-Polką bądź Polki z nie-Polakiem ,"['lub', 'dziewczyna', 'pochodzić', 'ze', 'związek', 'Polak', 'z', 'nie-Polka', 'bądź', 'Polka', 'z', 'nie-Polak']",,12
12,pół Polka,"(1, 2)",fraza rzeczownikowa,"przen. kobieta ,  która pół życia spędziła w Polsce ","['kobieta', 'który', 'pół', 'życie', 'spędzić', 'w', 'Polska']",['przen.'],9
13,pół tuzina,"(1, 1)",rzeczownik,sztuk ,['sztuka'],,1
14,póńć,"(1, 1)",rzeczownik,gw. (Górny Śląsk) rel. pielgrzymka ,['pielgrzymka'],"['gw.', 'rel.']",4
15,później,"(1, 1)",przysłówek,późno ,['późno'],,1
16,później,"(1, 2)",przysłówek,",  następnie ",['następnie'],,2
