,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,krwinka,"(1, 1)",rzeczownik,komórka krwi ,"['komórka', 'krew']",,2
1,krwinka biała,"(1, 1)",fraza rzeczownikowa,biol. med. krwinka odpowiadająca za ochronę ustroju ,"['krwinka', 'odpowiadać', 'za', 'ochrona', 'ustrój']","['biol.', 'med.']",7
2,krwinka czerwona,"(1, 1)",fraza rzeczownikowa,"biol. med. element komórkowy krwi ,  nadający jej barwę czerwoną dzięki barwnikowi hemoglobinie ,  służący przenoszeniu tlenu do komórek ciała ","['element', 'komórkowy', 'krew', 'nadawać', 'ona', 'barwa', 'czerwony', 'dzięki', 'barwnik', 'hemoglobina', 'służyć', 'przenoszenie', 'tlen', 'do', 'komórka', 'ciało']","['biol.', 'med.']",20
3,krwinkowy,"(1, 1)",przymiotnik relacyjny,"z krwinką ,  dotyczący krwinki ","['z', 'kwinka', 'dotyczyć', 'kwinka']",,5
4,krwiożerczość,"(1, 1)",rzeczownik,"tego ,  kto krwiożerczy ;  cecha tego ,  co krwiożercze ","['to', 'kto', 'krwiożerczy', 'cecha', 'to', 'co', 'krwiożerczy']",,10
5,krwiożerczy,"(1, 1)",przymiotnik,:  żywiący się mięsem lub krwią upolowanych istot żywych ,"['żywić się', 'mięso', 'lub', 'krew', 'upolować', 'istota', 'żywy']",,8
6,krwiożerczy,"(1, 2)",przymiotnik,o człowieku :  odznaczający się okrucieństwem ,"['odznaczać się', 'okrucieństwo']",,4
7,krwiobieg,"(1, 1)",rzeczownik,anat. med. zob. układ krwionośny ,[],"['anat.', 'med.', 'zob.']",4
8,krwiobieg,"(1, 2)",rzeczownik,"układ ,  w którym coś funkcjonuje ","['układ', 'w', 'który', 'coś', 'funkcjonować']",,6
9,krwiodawca,"(1, 1)",rzeczownik,osoba oddająca swoją krew w celu wykorzystania jej w krwiolecznictwie ,"['osoba', 'oddawać', 'swój', 'krew', 'w celu', 'wykorzystanie', 'ona', 'w', 'krwiolecznictwo']",,9
10,krwiodawczyni,"(1, 1)",rzeczownik,oddająca swoją krew w celu wykorzystania jej w krwiolecznictwie ,"['oddawać', 'swój', 'krew', 'w celu', 'wykorzystanie', 'ona', 'w', 'krwiolecznictwo']",,8
11,krwiodawstwo,"(1, 1)",rzeczownik,oddawanie własnej krwi na cele medyczne ;  zob. też krwiodawstwo w Wikipedii ,"['oddawanie', 'własny', 'krew', 'na', 'cel', 'medyczny']",,8
12,krwiomocz,"(1, 1)",rzeczownik,obecność krwi w moczu ,"['obecność', 'krew', 'w', 'mocz']",,4
13,krwionośny,"(1, 1)",przymiotnik,mający związek z krążeniem krwi ,"['mieć', 'związek', 'z', 'krążenie', 'krew']",,5
14,krwiopijca,"(1, 1)",rzeczownik,",  który pije krew ","['który', 'pić', 'krew']",,4
15,krwiopijca,"(1, 2)",rzeczownik,"pejor. ten ,  który wyzyskuje innych ","['ten', 'który', 'wyzyskiwać', 'inny']",['pejor.'],6
16,krwiopijca,"(1, 3)",rzeczownik,"pejor. ten ,  który przelewa czyjąś krew ","['ten', 'który', 'przelewa', 'czyjś', 'krew']",['pejor.'],7
17,krwioplucie,"(1, 1)",rzeczownik,med. odpluwanie wydzieliny zmieszanej z krwią ;  zob. też krwioplucie w Wikipedii ,"['odpluwanie', 'wydzielina', 'zmieszać', 'z', 'krew']",['med.'],8
18,krwistość,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest krwiste ","['cecha', 'to', 'co', 'być', 'krwisty']",['odprzym.'],7
19,krwisto-,"(1, 1)",temat słowotwórczy,,[],,0
20,krwisto,"(1, 1)",przysłówek sposobu,"użyciem krwistej barwy ,  z obecnością krwistości ","['użycie', 'krwisty', 'barwa', 'z', 'obecność', 'krwistość']",,7
21,krwistobrunatny,"(1, 1)",przymiotnik,książk. mający kolor brunatny o odcieniu koloru krwi ,"['mieć', 'kolor', 'brunatny', 'o', 'odcień', 'kolor', 'krew']",['książk.'],8
22,krwistoczerwono,"(1, 1)",przysłówek,barwie krwistoczerwonej ,"['barwa', 'krwistoczerwony']",,2
23,krwistoczerwony,"(1, 1)",przymiotnik,mający kolor czerwony bliski odcieniowi koloru krwi ;  intensywnie czerwony ,"['mieć', 'kolor', 'czerwony', 'bliski', 'odcień', 'kolor', 'krew', 'intensywnie', 'czerwony']",,10
24,krwistordzawy,"(1, 1)",przymiotnik,książk. mający kolor rdzawy o odcieniu koloru krwi ,"['mieć', 'kolor', 'rdzawy', 'o', 'odcień', 'kolor', 'krew']",['książk.'],8
25,krwisty,"(1, 1)",przymiotnik,",  który zawiera krew ","['który', 'zawierać', 'krew']",,4
26,krwisty,"(1, 2)",przymiotnik,od napływu krwi ,"['od', 'napływ', 'krew']",,3
27,krwisty,"(1, 3)",przymiotnik,odcieniu koloru krwi ,"['odcień', 'kolor', 'krew']",,3
28,krwisty,"(1, 4)",przymiotnik,pot. pełen wigoru ,"['pełen', 'wigor']",['pot.'],3
29,krwotoczność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest krwotoczne ","['cecha', 'to', 'co', 'być', 'krwotoczny']",['odprzym.'],7
30,krwotoczny,"(1, 1)",przymiotnik,z krwotokiem ,"['z', 'krwotok']",,2
31,krwotok,"(1, 1)",rzeczownik,utrata krwi na skutek urazu lub jako objaw choroby ;  zob. też krwotok w Wikipedii ,"['utrata', 'krew', 'na skutek', 'uraz', 'lub', 'jako', 'objaw', 'choroba']",,10
32,kryć,"(1, 1)",czasownik,w ukryciu ,"['w', 'ukrycie']",,2
33,kryć,"(1, 2)",czasownik,"coś w myślach ,  w sekrecie ","['coś', 'w', 'myśl', 'w', 'sekret']",,6
34,kryć,"(1, 3)",czasownik,niewidocznym dla kogoś lub czegoś ,"['niewidoczny', 'dla', 'ktoś', 'lub', 'coś']",,5
35,kryć,"(1, 4)",czasownik,"coś ,  zwykle jakąś część ciała ,  zasłaniając czymś ","['coś', 'zwykle', 'jakiś', 'część', 'ciało', 'zasłaniać', 'coś']",,9
36,kryć,"(1, 5)",czasownik,coś czymś w celu zabezpieczenia ,"['coś', 'coś', 'w celu', 'zabezpieczenie']",,4
37,kryć,"(1, 6)",czasownik,w celu tuszowania braków ,"['w celu', 'tuszowanie', 'brak']",,3
38,kryć,"(1, 7)",czasownik,w sobie ,"['w', 'sobie']",,2
39,kryć,"(1, 8)",czasownik,"kogoś lub coś przed odpowiedzialnością ,  karą ","['ktoś', 'lub', 'coś', 'przed', 'odpowiedzialność', 'kara']",,7
40,kryć,"(1, 9)",czasownik,"zasłaniać oczy ,  aby nie widzieć ,  gdzie chowają się uczestnicy zabawy ","['zasłaniać', 'oko', 'aby', 'nie', 'widzieć', 'gdzie', 'chować się', 'uczestnik', 'zabawa']",,11
