,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,przyjazność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest przyjazne ;  cecha tych ,  którzy są przyjaźni ","['cecha', 'to', 'co', 'być', 'przyjazny', 'cecha', 'ci', 'który', 'być', 'przyjazny']",['odprzym.'],14
1,przyjazny,"(1, 1)",przymiotnik jakościowy,",  który żywi dla kogoś  /  czegoś uczucie przyjaźni lub jest wyrazem takiego uczucia ","['który', 'żywić', 'dla', 'ktoś', 'coś', 'uczucie', 'przyjaźń', 'lub', 'być', 'wyraz', 'taki', 'uczucie']",,14
2,przyjazny,"(1, 2)",przymiotnik jakościowy,"taki ,  który sprzyja komuś  /  czemuś i nie przynosi szkód ","['taki', 'który', 'sprzyjać', 'ktoś', 'coś', 'i', 'nie', 'przynosić', 'szkoda']",,11
3,przyjdzie walec i wyrówna,"(1, 1)",związek frazeologiczny,"się ktoś ,  kto naprawi daną sytuację ,  rozwiąże problem ","['się', 'ktoś', 'kto', 'naprawić', 'dany', 'sytuacja', 'rozwiązać', 'problem']",,10
4,przyjeżdżać,"(1, 1)",czasownik nieprzechodni niedokonany (dk. przyjechać),przybywać za pomocą pojazdu na kołach ,"['przybywać', 'za pomocą', 'pojazd', 'na', 'koło']",,5
5,przyjeżdżać,"(1, 2)",czasownik nieprzechodni niedokonany (dk. przyjechać),przybywać ,['przybywać'],,1
6,przyjeżdżanie,"(1, 1)",rzeczownik,rzecz. odczas. od przyjeżdżać ,[],['rzecz. odczas.'],3
7,przyjebać,"(1, 1)",czasownik,uderzyć ,['uderzyć'],,1
8,przyjebać,"(2, 1)",czasownik zwrotny,przyczepić się ,['przyczepić się'],,1
9,przyjebanie,"(1, 1)",rzeczownik,od przyjebać ,[],,2
10,przyjechać,"(1, 1)",czasownik nieprzechodni dokonany (ndk. przyjeżdżać),przybyć za pomocą pojazdu na kołach ,"['przybyć', 'za pomocą', 'pojazd', 'na', 'koło']",,5
11,przyjechać,"(1, 2)",czasownik nieprzechodni dokonany (ndk. przyjeżdżać),przybyć ,['przybyć'],,1
12,przyjechanie,"(1, 1)",rzeczownik,rzecz. odczas. od przyjechać ,[],['rzecz. odczas.'],3
13,przyjemniaczek,"(1, 1)",rzeczownik,"iron. negatywnie o kimś ,  kto pozornie jest miły ,  uprzejmy ","['negatywnie', 'o', 'ktoś', 'kto', 'pozornie', 'być', 'miły', 'uprzejmy']",['iron.'],11
14,przyjemnie,"(1, 1)",przysłówek sposobu,"sposób przyjemny ,  z poczuciem przyjemności ","['sposób', 'przyjemny', 'z', 'poczucie', 'przyjemność']",,6
15,przyjemność,"(1, 1)",rzeczownik,"tego ,  co przyjemne ;  dające zadowolenie ,  satysfakcjonujące ","['to', 'co', 'przyjemny', 'dawać', 'zadowolenie', 'satysfakcjonować']",,9
16,przyjemność po mojej stronie,"(1, 1)",fraza wykrzyknikowa,"odpowiedź na podziękowanie ,  prośbę ,  towarzysząca propozycji albo pojawiająca się przy zapoznawaniu się ,  która sugeruje ,  że mówiący cieszy się ,  że mógł lub będzie mógł zrobić coś dla rozmówcy lub że go poznał ","['odpowiedź', 'na', 'podziękowanie', 'prośba', 'towarzyszyć', 'propozycja', 'albo', 'pojawiać się', 'przy', 'zapoznawanie', 'się', 'który', 'sugerować', 'że', 'mówić', 'cieszyć się', 'że', 'móc', 'lub', 'być', 'móc', 'zrobić', 'coś', 'dla', 'rozmówca', 'lub', 'że', 'on', 'poznać']",,34
17,przyjemny,"(1, 1)",przymiotnik jakościowy,"przyjemność ,  dodatnie wrażenie ","['przyjemność', 'dodatni', 'wrażenie']",,4
18,przyjemny,"(1, 2)",przymiotnik jakościowy,miłym sposobem bycia ,"['miły', 'sposób', 'bycie']",,3
19,przyjezdność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest przyjezdne ;  cecha tych ,  którzy są przyjezdni ","['cecha', 'to', 'co', 'być', 'przyjezdny', 'cecha', 'ci', 'który', 'być', 'przyjezdny']",['odprzym.'],14
20,przyjezdny,"(1, 1)",rzeczownik,",  kto przyjechał ","['kto', 'przyjechać']",,3
