,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,hipsterski,"(1, 1)",przymiotnik relacyjny,"z hipsterem lub hipsterką ,  odnoszący się do hipstera lub hipsterki ","['z', 'hipster', 'lub', 'hipsterka', 'odnosić się', 'do', 'hipster', 'lub', 'hipsterka']",,10
1,hip hip hurra,"(1, 1)",fraza wykrzyknikowa,wyrażający entuzjazm lub euforię ,"['wyrażać', 'entuzjazm', 'lub', 'euforia']",,4
2,hiragana,"(1, 1)",rzeczownik,jeden z dwóch japońskich systemów pisma sylabicznego kana ;  zob. też hiragana w Wikipedii ,"['jeden', 'z', 'dwa', 'japoński', 'system', 'pismo', 'sylabiczny', 'kana']",,10
3,Hireczek,"(1, 1)",rzeczownik,zdrobn. poufała forma męskiego imienia Hieronim ,"['poufały', 'forma', 'męski', 'imię', 'Hieronim']",['zdrobn.'],6
4,Hirek,"(1, 1)",rzeczownik,zdrobn. Hieronim ,['Hieronim'],['zdrobn.'],2
5,Hiroszima,"(1, 1)",rzeczownik,"miasto w Japonii ,  na wyspie Honsiu ;  zob. też Hiroszima w Wikipedii ","['miasto', 'w', 'Japonia', 'na', 'wyspa', 'Honsiu']",,9
6,Hiroszima,"(1, 2)",rzeczownik,adm. prefektura w Japonii ,"['prefektura', 'w', 'Japonia']",['adm.'],4
7,hiroszimski,"(1, 1)",przymiotnik relacyjny,"z Hiroszimą ,  dotyczący Hiroszimy ","['z', 'Hiroszima', 'dotyczyć', 'Hiroszima']",,5
8,hirsutyzm,"(1, 1)",rzeczownik,występowanie nadmiernego owłosienia typu męskiego u kobiet ;  zob. też hirsutyzm w Wikipedii ,"['występowanie', 'nadmierny', 'owłosienie', 'typ', 'męski', 'u', 'kobieta']",,9
9,Hiruś,"(1, 1)",rzeczownik,zdrobn. Hieronim ,['Hieronim'],['zdrobn.'],2
10,hirudoterapia,"(1, 1)",rzeczownik,"naukowo  „ terapia ”,  stosująca pijawki do  „ leczenia ”  z wielu chorób ;  zob. też hirudoterapia w Wikipedii ","['naukowo', 'terapia', 'stosować', 'pijaka', 'do', 'leczenie', 'z', 'wiele', 'choroba']",,15
11,his,"(1, 1)",rzeczownik,dźwięk h podwyższony o półton ;  zob. też his (dźwięk) w Wikipedii ,"['dźwięk', 'h', 'podwyższać', 'o', 'półton']",,7
12,Hisar,"(1, 1)",rzeczownik,geogr. adm. osiedle typu miejskiego w Tadżykistanie ;  zob. też Hisar (Tadżykistan) w Wikipedii ,"['osiedle typu miejskiego', 'w', 'Tadżykistan']","['geogr.', 'adm.']",7
13,hisarski,"(1, 1)",przymiotnik relacyjny,"z Hisarem ,  dotyczący Hisaru ","['z', 'Hisar', 'dotyczyć', 'Hisar']",,5
14,hisis,"(1, 1)",rzeczownik,dźwięk h podwyższony o cały ton ;  zob. też hisis w Wikipedii ,"['dźwięk', 'h', 'podwyższać', 'o', 'cały ton']",,7
15,Hispaniola,"(1, 1)",rzeczownik,hist. Haiti  ( wyspa ) ,"['Haiti', 'wyspa']",['hist.'],5
16,hispanista,"(1, 1)",rzeczownik,"w dziedzinie hispanistyki ,  osoba zajmująca się naukowo językiem hiszpańskim ","['w', 'dziedzina', 'hispanistyka', 'osoba', 'zajmować się', 'naukowo', 'język', 'hiszpański']",,9
17,hispanistka,"(1, 1)",rzeczownik,"w dziedzinie hispanistyki ,  kobieta zajmująca się naukowo językiem hiszpańskim ","['w', 'dziedzina', 'hispanistyka', 'kobieta', 'zajmować się', 'naukowo', 'język', 'hiszpański']",,9
18,hispanistyka,"(1, 1)",rzeczownik,o języku i literaturze hiszpańskiej ,"['o', 'język', 'i', 'literatura', 'hiszpański']",,5
19,hispanoamerykański,"(1, 1)",przymiotnik,"do krajów Ameryki ,  w których językiem oficjalnym jest hiszpański ","['do', 'kraj', 'Ameryka', 'w', 'który', 'język', 'oficjalny', 'być', 'hiszpański']",,10
20,hispanoamerykański,"(1, 2)",przymiotnik,do kultury krajów Ameryki opartej na języku hiszpańskim ,"['do', 'kultura', 'kraj', 'Ameryka', 'oprzeć', 'na', 'język', 'hiszpański']",,8
21,Hispanoameryka,"(1, 1)",rzeczownik,geogr. polit. hiszpańskojęzyczne kraje Ameryki ;  zob. też Hispanoameryka w Wikipedii ,"['hiszpańskojęzyczny', 'kraj', 'Ameryka']","['geogr.', 'polit.']",7
22,hista,"(1, 1)",rzeczownik,pot. uczn. historia jako przedmiot szkolny ,"['historia', 'jako', 'przedmiot', 'szkolny']","['pot.', 'uczn.']",6
23,hista,"(1, 2)",rzeczownik,uczn. lekcja historii ,"['lekcja', 'historia']",['uczn.'],3
24,histaminowy,"(1, 1)",przymiotnik relacyjny,"biochem. związany z histaminą ,  dotyczący histaminy ","['związać', 'z', 'histamina', 'dotyczyć', 'histamina']",['biochem.'],7
25,histerektomia,"(1, 1)",rzeczownik,med. wet. zabieg chirurgicznego usunięcia macicy ;  zob. też histerektomia w Wikipedii ,"['zabieg', 'chirurgiczny', 'usunięcie', 'macica']","['med.', 'wet.']",8
26,histereza,"(1, 1)",rzeczownik,zależności aktualnego stanu układu od stanów w poprzedzających chwilach ;  zob. też histereza w Wikipedii ,"['zależność', 'aktualny', 'stan', 'układ', 'od', 'stan', 'w', 'poprzedzać', 'chwila']",,11
27,histeria,"(1, 1)",rzeczownik,"wybuchowa płaczliwość ,  nerwowość ,  rozemocjonowanie ;  zob. też histeria w Wikipedii ","['wybuchowy', 'płaczliwość', 'nerwowość', 'rozemocjonowanie']",,8
28,histeryczka,"(1, 1)",rzeczownik,"kobieta cierpiąca na histerię ,  która ma ataki histerii ","['kobieta', 'cierpieć', 'na', 'histeria', 'który', 'mieć', 'atak', 'histeria']",,9
29,histeryczka,"(1, 2)",rzeczownik,kobieta reagująca zbyt gwałtownie lub jest przesadnie wrażliwa ,"['kobieta', 'reagować', 'zbyt', 'gwałtownie', 'lub', 'być', 'przesadnie', 'wrażliwy']",,8
30,histerycznie,"(1, 1)",przysłówek,sposób histeryczny ,"['sposób', 'histeryczny']",,2
31,histeryczny,"(1, 1)",przymiotnik,histerii ,['histeria'],,1
32,histeryk,"(1, 1)",rzeczownik,"cierpiący na histerię ;  taki ,  który ma ataki histerii ","['cierpieć', 'na', 'histeria', 'taki', 'który', 'mieć', 'atak', 'histeria']",,10
33,histeryk,"(1, 2)",rzeczownik,"człowiek reagujący zbyt gwałtownie lub taki ,  który jest przesadnie wrażliwy ","['człowiek', 'reagować', 'zbyt', 'gwałtownie', 'lub', 'taki', 'który', 'być', 'przesadnie', 'wrażliwy']",,11
34,histeryzować,"(1, 1)",czasownik,"w histerię ,  zachowywać się w sposób histeryczny ","['w', 'histeria', 'zachowywać się', 'w', 'sposób', 'histeryczny']",,7
35,histeryzowanie,"(1, 1)",rzeczownik,od histeryzować ,[],,2
36,histo-,"(1, 1)",temat słowotwórczy,pierwszy człon wyrazów złożonych wskazujący na ich związek znaczeniowy z tkanką ,[],,1
37,histogram,"(1, 1)",rzeczownik,"wykres słupkowy ukazujący rozkład empiryczny danej cechy ,  np. jasności pikseli na fotografii cyfrowej ;  zob. też histogram w Wikipedii ","['wykres', 'słupkowy', 'ukazywać', 'rozkład', 'empiryczny', 'dany', 'cecha', 'np.', 'jasność', 'piksel', 'na', 'fotografia', 'cyfrowy']",['np.'],16
38,histologia,"(1, 1)",rzeczownik,nauk. biol. nauka o tkankach ,"['nauka', 'o', 'tkanka']","['nauk.', 'biol.']",5
39,histologiczny,"(1, 1)",przymiotnik relacyjny,"biol. związany z histologią ,  dotyczący histologii ","['związać', 'z', 'histologia', 'dotyczyć', 'histologia']",['biol.'],7
40,histopatologia,"(1, 1)",rzeczownik,nauk. med. dział patologii zajmujący się badaniem zmian chorobowych w tkankach ,"['dział', 'patologia', 'zajmować się', 'badanie', 'zmiana', 'chorobowy', 'w', 'tkanka']","['nauk.', 'med.']",10
41,histopatologiczny,"(1, 1)",przymiotnik relacyjny,"med. związany z histopatologią ,  dotyczący histopatologii ","['związać', 'z', 'histopatologia', 'dotyczyć', 'histopatologia']",['med.'],7
42,historia,"(1, 1)",rzeczownik,zajmująca się badaniem przeszłości ;  zob. też historia w Wikipedii ,"['zajmować się', 'badanie', 'przeszłość']",,5
43,historia,"(1, 2)",rzeczownik,"opowieść ,  opis jakiegoś wydarzenia ","['opowieść', 'opis', 'jakiś', 'wydarzenie']",,5
44,historiografia,"(1, 1)",rzeczownik,"historyczne ,  czyli takie ,  które opisuje dzieje na podstawie badań naukowych ","['historyczny', 'czyli', 'taki', 'który', 'opisywać', 'dzieje', 'na podstawie', 'badanie', 'naukowy']",,11
45,historiografia,"(1, 2)",rzeczownik,"naukowych opracowań historycznych na temat danego okresu ,  regionu ,  postaci itp. ","['naukowy', 'opracowanie', 'historyczny', 'na temat', 'dany', 'okres', 'region', 'postać', 'itp.']",['itp.'],11
46,historiograficzny,"(1, 1)",przymiotnik,"historiografii ,  właściwy historiografii ","['historiografia', 'właściwy', 'historiografia']",,4
47,historiozofia,"(1, 1)",rzeczownik,"dziedzina filozofii zajmująca się refleksją nad dziejami ,  ich sensem ,  biegiem i celem ,  próbująca ustalić prawidłowości ,  które nimi rządzą ;  jej przedmiotem badań jest też postrzeganie procesów dziejowych przez ludzi oraz różne sposoby ich przedstawiania i rozumienia ;  zob. też historiozofia w Wikipedii ","['dziedzina', 'filozofia', 'zajmować się', 'refleksja', 'nad', 'dzieje', 'one', 'sens', 'bieg', 'i', 'cel', 'próbować', 'ustalić', 'prawidłowość', 'który', 'one', 'rządzić', 'ona', 'przedmiot', 'badanie', 'być', 'też', 'postrzeganie', 'proces', 'dziejowy', 'przez', 'człowiek', 'oraz', 'różny', 'sposób', 'one', 'przedstawianie', 'i', 'rozumienie']",,41
48,historiozoficzny,"(1, 1)",przymiotnik,historiozofii ,['historiozofia'],,1
49,historyczka,"(1, 1)",rzeczownik,nauczycielka historii ,"['nauczycielka', 'historia']",,2
50,historyczka,"(1, 2)",rzeczownik,"specjalistka w dziedzinie historii ,  badaczka dziejów ","['specjalistka', 'w', 'dziedzina', 'historia', 'badaczka', 'dzieje']",,7
51,historycznie,"(1, 1)",przysłówek sposobu,"dawnych czasach ,  ujmując określoną historię ","['dawny', 'czas', 'ujmować', 'określony', 'historia']",,6
52,historycznie,"(1, 2)",przysłówek sposobu,sposób charakterystyczny dla odległych czasów ,"['sposób', 'charakterystyczny', 'dla', 'odległy', 'czas']",,5
53,historyczność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest historyczne ;  cecha tych ,  którzy są historyczni ","['cecha', 'to', 'co', 'być', 'historyczny', 'cecha', 'ci', 'który', 'być', 'historyczny']",['odprzym.'],14
54,historyczno-literacki,"(1, 1)",przymiotnik,"i literacki ,  związany z historią i literaturą ","['i', 'literacki', 'związany', 'z', 'historia', 'i', 'literatura']",,8
55,historycznoliteracki,"(1, 1)",przymiotnik,"historii literatury ,  związany z historią literatury ","['historia literatury', 'związany', 'z', 'historia literatury']",,5
56,historyczny,"(1, 1)",przymiotnik,"z historią ,  z przeszłością ,  opisujący przeszłość ","['z', 'historia', 'z', 'przeszłość', 'opisywać', 'przeszłość']",,8
57,historyczny,"(1, 2)",przymiotnik,"czymś starym ,  dawnym ","['coś', 'stary', 'dawny']",,4
58,historyczny,"(1, 3)",przymiotnik,"czymś doniosłym ,  ważnym ","['coś', 'doniosły', 'ważny']",,4
59,historyjka,"(1, 1)",rzeczownik,zdrobn. od :  historia ,['historia'],['zdrobn.'],4
60,historyk,"(1, 1)",rzeczownik,"w dziedzinie historii ,  badacz dziejów ","['w', 'dziedzina', 'historia', 'badacz', 'dzieje']",,6
61,historyk,"(2, 1)",rzeczownik,"w dziedzinie historii ,  badaczka dziejów ","['w', 'dziedzina', 'historia', 'badaczka', 'dzieje']",,6
62,historyzować,"(1, 1)",czasownik,w utworach literackich i dziełach sztuki motywy historyczne ,"['w', 'utwór', 'literacki', 'i', 'dzieło sztuki', 'motyw', 'historyczny']",,7
63,historyzować,"(1, 2)",czasownik,dzieła o tematyce historycznej ,"['dzieło', 'o', 'tematyka', 'historyczny']",,4
64,historyzować,"(1, 3)",czasownik,coś z historycznego punktu widzenia ,"['coś', 'z', 'historyczny', 'punkt widzenia']",,4
65,historyzowanie,"(1, 1)",rzeczownik,od historyzować ,[],,2
66,histra,"(1, 1)",rzeczownik,pot. eduk. historia (jako przedmiot lub godzina lekcyjna) ,['historia'],"['pot.', 'eduk.']",4
67,Hiszpańczyk,"(1, 1)",rzeczownik,daw. Hiszpan ,['Hiszpan'],['daw.'],2
68,hiszpański,"(1, 1)",przymiotnik,do / pochodzący z Hiszpanii lub odnoszący się do Hiszpanów ,"['do', 'pochodzić', 'z', 'Hiszpania', 'lub', 'odnosić się', 'do', 'Hiszpan']",,9
69,hiszpański,"(2, 1)",rzeczownik,romański język używany m.in. w Hiszpanii ;  zob. też język hiszpański w Wikipedii ,"['romański', 'język', 'używać', 'm.in.', 'w', 'Hiszpania']",['m.in.'],8
