,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,bermyca,"(1, 1)",rzeczownik,futrzana czapka ;  zob. też bermyca w Wikipedii ,"['futrzany', 'czapka']",,4
1,Bernadeta,"(1, 1)",rzeczownik,ofic. urz. imię żeńskie ;  zob. też Bernadeta w Wikipedii ,[],"['ofic.', 'urz.']",5
2,Bernadetka,"(1, 1)",rzeczownik,zdrobn. poufała forma żeńskiego imienia Bernadeta ,"['poufały', 'forma', 'żeński', 'imię', 'Bernadeta']",['zdrobn.'],6
3,Bernard,"(1, 1)",rzeczownik,;  zob. też Bernard (imię) w Wikipedii ,[],,2
4,bernardyński,"(1, 1)",przymiotnik relacyjny,z zakonem bernardynów ,"['z', 'zakon', 'bernardyn']",,3
5,Bernardyn,"(1, 1)",rzeczownik,;  zob. też Bernardyn (imię) w Wikipedii ,[],,2
6,Bernardyn,"(2, 1)",rzeczownik,lm od: Bernardyna ,[],,3
7,bernardyn krótkowłosy,"(1, 1)",fraza rzeczownikowa,kynol. odmiana rasy psa zaliczana do grupy molosów w typie górskim ,"['odmiana', 'rasa', 'pies', 'zaliczać', 'do', 'grupa', 'molos', 'w', 'typ', 'górski']",['kynol.'],11
8,bernardyn krótkowłosy,"(1, 2)",fraza rzeczownikowa,pies rasy  bernardyn krótkowłosy (1.1) ,"['pies', 'rasa']",,3
9,Berneńczyk,"(1, 1)",rzeczownik,kantonu Berno ,"['kanton', 'Berno']",,2
10,berneński,"(1, 1)",przymiotnik,do miasta Berno ,"['do', 'miasto', 'Berno']",,3
11,berneński pies pasterski,"(1, 1)",fraza rzeczownikowa,kynol. rasa psa należąca do grupy szwajcarskich psów pasterskich ;  zob. też berneński pies pasterski w Wikipedii ,"['rasa', 'pies', 'należeć', 'do', 'grupa', 'szwajcarski', 'pies', 'pasterski']",['kynol.'],11
12,berneński pies pasterski,"(1, 2)",fraza rzeczownikowa,osobnik rasy  berneński pies pasterski (1.1) ,"['osobnik', 'rasa']",,3
13,Bernenka,"(1, 1)",rzeczownik,kantonu Berno ,"['kanton', 'Berno']",,2
14,bernikla,"(1, 1)",rzeczownik,zamieszkująca półkulę północną gęś o czarnym dziobie ,"['zamieszkiwać', 'półkula', 'północny', 'gęś', 'o', 'czarny', 'dziób']",,7
15,Berno,"(1, 1)",rzeczownik,geogr. stolica Szwajcarii ;  zob. też Berno w Wikipedii ,"['stolica', 'Szwajcaria']",['geogr.'],5
16,Berno,"(1, 2)",rzeczownik,kanton w Szwajcarii ;  zob. też Berno (kanton) w Wikipedii ,"['kanton', 'w', 'Szwajcaria']",,5
