,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,wieszczbiarka,"(1, 1)",rzeczownik,przest. kobieta wieszcząca przyszłość ,"['kobieta', 'wieszczyć', 'przyszłość']",['przest.'],4
1,wieszczbiarnia,"(1, 1)",rzeczownik,daw. miejsce wieszczenia przyszłości ,"['miejsce', 'wieszczenie', 'przyszłość']",['daw.'],4
2,wieszczbiarski,"(1, 1)",przymiotnik relacyjny,"z wieszczbiarstwem ,  dotyczący wieszczbiarstwa ","['z', 'wieszczbiarstwo', 'dotyczyć', 'wieszczbiarstwo']",,5
3,wieszczbiarskość,"(1, 1)",rzeczownik,przest. wieszczbiarski charakter czegoś ,"['wieszczbiarski', 'charakter', 'coś']",['przest.'],4
4,wieszczbiarsko,"(1, 1)",przysłówek,wieszczbiarski ,['wieszczbiarski'],,1
5,wieszczbiarstwo,"(1, 1)",rzeczownik,przest. próby przepowiadania przyszłości za pomocą specjalnych przedmiotów i technik ,"['próba', 'przepowiadanie', 'przyszłość', 'za pomocą', 'specjalny', 'przedmiot', 'i', 'technika']",['przest.'],9
6,wieszczbiarz,"(1, 1)",rzeczownik,przest. osoba wieszcząca przyszłość ,"['osoba', 'wieszczyć', 'przyszłość']",['przest.'],4
7,wieszczek,"(1, 1)",rzeczownik,daw. człowiek przepowiadający przyszłość ,"['człowiek', 'przepowiadać', 'przyszłość']",['daw.'],4
8,wieszczek,"(2, 2)",rzeczownik,ptak z gatunku  (2.1) ,"['ptak', 'z', 'gatunek']",,4
9,wieszczek,"(3, 1)",rzeczownik,lm od: wieszczka ,['wieszczka'],,3
10,wieszczenie,"(1, 1)",rzeczownik,książk. przepowiadanie przyszłości ,"['przepowiadanie', 'przyszłość']",['książk.'],3
11,wieszczenie,"(1, 2)",rzeczownik,"zapowiadanie tego ,  co następuje ","['zapowiadanie', 'to', 'co', 'następować']",,5
12,wieszczka,"(1, 1)",rzeczownik,wieszcz ,['wieszcz'],,1
13,wieszczość,"(1, 1)",rzeczownik,"rzad. cecha tego ,  co wieszcze ","['cecha', 'to', 'co', 'wieszczy']",['rzad.'],6
14,wieszczo,"(1, 1)",przysłówek,wieszczy ,['wieszczy'],,1
15,wieszczyć,"(1, 1)",czasownik niedokonany,książk. albo podn. przepowiadać przyszłość ,"['przepowiadać', 'przyszłość']","['książk.', 'podn.']",5
16,wieszczy,"(1, 1)",przymiotnik,"z wieszczeniem ,  dotyczący wieszczenia ","['z', 'wieszczenie', 'dotyczyć', 'wieszczenie']",,5
17,wieszczy,"(1, 2)",przymiotnik,liter. poetycki ,['poetycki'],['liter.'],2
18,Wietługa,"(1, 1)",rzeczownik,"geogr. hydrol. rzeka w Rosji przeduralskiej ,  lewy dopływ Wołgi ;  zob. też Wietługa (rzeka) w Wikipedii ","['rzeka', 'w', 'Rosja', 'przeduralski', 'lewy', 'dopływ', 'Wołga']","['geogr.', 'hydrol.']",12
19,Wietługa,"(1, 2)",rzeczownik,adm. miasto w Rosji w obwodzie niżnonowogrodzkim ,"['miasto', 'w', 'Rosja', 'w', 'obwód', 'niżnonowogrodzki']",['adm.'],7
